Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
A 10-minute walk from the beach, Lakeside Gardens Apartment is located in Bogazici area of Bodrum.	Апартаменты Lakeside Gardens находятся в 10 минутах ходьбы от пляжа в районе Богазичи в Бодруме.
Guests can start their day with a rich buffet breakfast.	Гости могут начать свой день с обильного завтрака "шведский стол".
The next restaurant can be found 1 km from Appartement Schmittenweg and a grocery shop is 1.6 km away.	Ближайший ресторан находится в 1 км от апартаментов Schmittenweg, а расстояние до продуктового магазина составляет 1,6 км.
The French Partridge restaurant offers an à-la-carte menu, including tapas and traditional dishes with a modern twist.	В ресторане отеля French Partridge гостей обслуживают по меню. Здесь вам предложат тапас и традиционные блюда, приготовленные на современный манер.
You can enjoy city view.	Из апартаментов открывается вид на город.
The accommodation provides an equipped kitchen and a seating area.	Дом для отпуска располагает оборудованной кухней и гостиной зоной.
Ferienwohnungen Moosbrugger also includes a terrace.	Кроме того, в комплексе Ferienwohnungen Moosbrugger есть терраса.
Laundry and fax/photocopy services are available as well.	Кроме того, в отеле предоставляются прачечные услуги и услуги факса/ксерокопирования.
Guests can enjoy local dishes at the onsite restaurant.	В ресторане на территории гости смогут заказать блюда местной кухни.
At Apartment Casa Alpina you will find a garden.	На территории здания апартаментов Casa Alpina разбит сад.
The attached bathroom includes hot/cold shower facility, towels and free toiletries.	В собственной ванной комнате с горячим/холодным душем предоставляются полотенца и бесплатные туалетно-косметические принадлежности.
Decorated with white linens and wood furniture, all rooms include ironing facilities.	Каждый номер укомплектован белоснежным постельным бельем и обставлен деревянной мебелью.
The hotel is an ideal base for exploring the beautiful Copper Canyon region.	Отель является идеальной отправной точкой для изучения красивого региона Медного каньона.
Situated 5 minutes’ walk from Kristianstad Train Station, this property offers free Wi-Fi access and rooms with TVs and work desks. Kristianstad Theatre is a 2-minute walk away.	Этот отель типа "постель и завтрак" расположен в 5 минутах ходьбы от железнодорожного вокзала города Кристианстада и в 2 минутах ходьбы от городского театра. К услугам гостей номера с телевизором и рабочим столом, а также бесплатный Wi-Fi.
The nearest airport is Milan Linate Airport, 8 km from B&B La Terrazza Sul Quartiere Isola.	Расстояние от отеля La Terrazza Sul Quartiere Isola до аэропорта Милан Линате составляет 8 км.
Guests can relax in the outdoor hot tub or on the patio under the gazebo.	Также в распоряжении гостей отеля открытая гидромассажная ванна и беседка во внутреннем дворе.
There is a full kitchen with a microwave and an oven in this air-conditioned unit.	В вашем распоряжении полностью оборудованная кухня с микроволновой печью и плитой.
Other facilities offered include a tour desk, dry cleaning and a laundry.	В вашем распоряжении экскурсионное бюро, химчистка и прачечная.
The property offers free parking.	На территории обустроена бесплатная парковка.
The well-lit, spacious rooms with wood floors feature a balcony, flat-screen TV, air conditioning, seating area, wardrobe, minibar and private bathroom.	Просторные и хорошо освещенные номера отеля имеют деревянный пол и располагают балконом, телевизором с плоским экраном, кондиционером, гостиным уголком, шкафом для одежды, мини-баром и собственной ванной комнатой.
Guests of Inn La Cuesta are greeted by a 24-hour reception and the hotel provides free afternoon coffee, tea and cookies.	В отеле Inn La Cuesta работает круглосуточная стойка регистрации, а для гостей предлагается бесплатный послеобеденный кофе, чай и печенье.
Yevpatoriya is 30 km away and the Simferopol Airport is 80 km away.	Расстояние до города Евпатории составляет 30 км, а до аэропорта Симферополя — 80 км.
The chalet also provides free Wi-Fi internet access in the public areas, disability access and a ski locker.	Среди прочих удобств шале — бесплатный Wi-Fi в местах общего пользования и запирающиеся шкафчики для лыж. Шале подходят для гостей с ограниченными физическими возможностями.
The nearest metro station at Kobylisy, on line C, is set 500 metres from Hotel Libuše, and it offers connections towards Prague Main Train Station and the centre of the city.	Расстояние от отеля Libuše до ближайшей станции метро Kobylisy (линия С), от которой можно добраться до Центрального железнодорожного вокзала Праги и центра города, составляет 500 метров.
The spacious, soundproofed rooms feature carpeted floors and large windows.	Гостям предлагается размещение в просторных звукоизолированных номерах с ковровым покрытием и большими окнами.
The property is within a 10-minute walk of Piazza della Signoria square, Uffizi Gallery and Florence Cathedral.	Апартаменты находятся в 10 минутах ходьбы от площади Синьории, галереи Уффици и кафедрального собора Санта-Мария-дель-Фьоре.
There is a shared kitchen at the property.	Среди удобств общая кухня.
Zarzis Airport is 18 km away.	Аэропорт Зарзис находится в 18 км.
Located on top of a dune and commanding pretty sea views, this offers modern rooms with free Wi-Fi.	К услугам гостей этого отеля, расположенного на вершине дюны с прекрасным видом на море, современные номера с бесплатным Wi-Fi.
Shops and restaurants can be found within 1 km and the nearest city, Thisted, is in 20 km.	На расстоянии 1 км работает несколько магазинов и ресторанов, а ближайший город, Тистед, находится в 20 км.
It offers free parking and air-conditioned rooms with satellite TV and free Wi-Fi.	К услугам гостей бесплатная парковка и номера с кондиционером, спутниковым телевидением и бесплатным Wi-Fi.
Set in the Umbrian countryside, Castello Izzalini Todi Resort offers rustic-style apartments.	Загородный дом Castello Izzalini Todi Resort расположен в загородной местности Умбрии. В распоряжении гостей апартаменты в загородном стиле.
Hotel Parque Zabal is located 100 metres from Fusagasuga town centre.	Отель Parque Zabal расположен в 100 метрах от центра города Фусагасуга.
A good selection of restaurants is available in the surrounding area.	В окрестностях расположено множество ресторанов.
The beachfront restaurant serves delicious local and international dishes, and offers free Wi-Fi.	В прибрежном ресторане с бесплатным Wi-Fi подают блюда местной и интернациональной кухни.
All air-conditioned rooms include balcony, a flat-screen cable TV, a phone and a minibar.	Во всех номерах к услугам гостей кондиционер, балкон, телевизор с плоским экраном и кабельными каналами, телефон и мини-бар.
Free WiFi and private parking are also available.	Предоставляется бесплатный Wi-Fi и бесплатная частная парковка.
Featuring a bath or shower, the private bathroom also comes with a hairdryer.	В собственной ванной комнате с ванной или душем предоставляется фен.
There is a full kitchen with a microwave, refrigerator and an oven.	Кроме того, обустроена полностью оборудованная кухня с микроволновой печью, холодильником и духовым шкафом.
Rooms feature views of the swimming pool or the garden, while some also offer a private terrace.	Из окон номеров открывается вид на бассейн или сад, а в некоторых есть собственная терраса.
The nearest airport is Odessa International Airport, 13 km from the property.	Расстояние до международного аэропорта Одессы составляет 13 км.
You will enjoy the restaurant room of the camp park decorated in a nautical style.	Зал ресторана кемпинга оформлен в морском стиле.
It also includes a fridge-freezer and a coffee machine.	К услугам гостей холодильник с морозильной камерой и кофемашина.
Offering an outdoor pool and seasonal outdoor pool, Villa Rosanna is set in Colico in the Lombardy Region, 5 km from Piona Abbey.	Вилла Rosanna расположена в городе Колико, в регионе Ломбардия, в 5 км от аббатства Пиона. К услугам гостей открытый плавательный бассейн и открытый бассейн сезонного использования.
Simply furnished rooms at the guest house offer a fan and shared bathroom with shower facilities.	Гостям номеров, оформленных в лаконичном стиле, предоставляются вентилятор и общая ванная комната с душем.
The hotel can offer vegetarian alternatives and is happy to cater to any dietary requirements with prior request.	Кроме того, в отеле могут приготовить вегетарианские блюда и удовлетворить любые диетические потребности по предварительному запросу.
Bed linen is provided.	Гостям предоставляется постельное белье.
Free Wi-Fi and a flat-screen cable TV are included in all suites.	Во всех люксах в распоряжении гостей бесплатный WiFi и телевизор с 37-дюймовым плоским экраном и кабельными каналами.
A buffet breakfast is available in the hotel’s bright dining room, which features floor-to-ceiling windows.	В светлом обеденном зале отеля, с окнами от пола до потолка, подают завтрак "шведский стол".
Set in the pretty village of Kempsey, The Walter de Cantelupe Inn offers individually decorated, stylish rooms.	Отель типа «постель и завтрак» Walter de Cantelupe Inn расположен в красивой деревне Кемпси. К услугам гостей стильные номера с оригинальным оформлением.
Come and stay in the Hotel Castellina and take it easy in the modern and comfortable rooms.	Отдохните в современных комфортабельных номерах отеля Castellina.
Oristano is 46 km from Sa Lumenaria da Raimonda, while Nuoro is 38 km from the property.	Отель типа «постель и завтрак» Sa Lumenaria da Raimonda находится в 46 км от коммуны Ористано и в 38 км от коммуны Нуоро.
A TV is offered.	В распоряжении гостей телевизор.
At Residenza Ondanomala you will find a garden.	Помимо прочего, при комплексе Residenza Ondanomala разбит сад.
The historical centre of Le Pontet, home place to the Château de Fargues, is within easy reach.	Исторический центр Ле Понте, где расположен замок Шато-де-Фарг, находится в пределах легкой досягаемости.
Park Named after Anna Akhmatova is within a 5-minute walk of the property.	До парка имени Анны Ахматовой можно добраться пешком за 5 минут.
Jenbach can be reached with a unique steam cog railway.	До города Йенбах можно добраться, воспользовавшись уникальным фуникулером на паровой тяге.
Gästehaus Hugo offers a packed lunch service for guests wishing to explore the area.	Гостям, желающим осмотреть окрестности, предлагаются упакованные ланчи.
Campo de’ Fiori square, with its pubs and historic food market is 300 metres away.	На площади Кампо-де-Фьори (в 300 метрах) находятся бары и исторический продовольственный рынок.
The private bathroom is stocked with toiletries and a hairdryer.	В собственной ванной комнате предоставляются туалетно-косметические принадлежности и фен.
The accommodation will provide you with a TV and air conditioning.	Этот дом для отпуска располагает телевизором и кондиционером.
The property offers free parking.	Гостям предоставляется бесплатная парковка.
Featuring free WiFi, Easy Housing offers accommodation in Prague.	Хостел Easy Housing находится в Праге. К услугам гостей бесплатный Wi-Fi.
The shores of Lake Trasimeno can be reached in a 1-hour drive.	Поездка до берега озера Тразимено занимает 1 час.
The property offers free parking.	На территории обустроена бесплатная парковка.
Offering an outdoor pool and an indoor pool, Green Park Punta 2 offers self-catering accommodation 500 metres from Solanas beach area, 5 km from downtown Punta del Este.	Апарт-отель Green Park Punta 2 расположен в 500 метрах от пляжной зоны Соланас и в 5 км от центра города Пунта-дель-Эсте. К услугам гостей крытый и открытый бассейны и апартаменты с собственной кухней.
Staff at the 24-hour front desk readily assists guests with services such as bicycle and car rental, as well as laundry services which include dry cleaning.	Сотрудники круглосуточной стойки регистрации организуют прокат автомобилей и велосипедов, а также услуги прачечной и химчистки.
The classic-style apartment is air conditined and has satellite TV.	Апартаменты оформлены в классическом стиле и оборудованы кондиционером, также подключено спутниковое телевидение.
Bühl train Station is 7 km away, and there is a bus stop directly in front of the guest house.Strasbourg International Airport just 70 km away from the property and Stuttgart Airport is 73 km away.	Местные автобусы останавливаются напротив гостевого дома. Расстояние до железнодорожного вокзала Бюля составляет 7 км, до международного аэропорта Страсбург – 70 км, а до аэропорта Штутгарт – 73 км.
Each room at the Hansestern has a private bathroom and a TV with satellite channels.	Все номера отеля Hansestern располагают собственной ванной комнатой и телевизором со спутниковыми каналами.
Each room has a basin and there are 2 shared bathrooms with a shower for communal use.	Гости могут пользоваться 2 общими ванными комнатами с душем.
Nestled away amidst peaceful nature surroundings, Great Roots Forestry Spa Resort features a hot spring bath and elegantly furnished guestrooms with complimentary bottled water.	Курортный спа-отель Great Roots Forestry расположен в тихом природном месте. К услугам гостей горячие минеральные источники, изысканно оформленные номера и бесплатная бутилированная вода.
At Top Hotel you will find a 24-hour front desk, while there is a vending machine in the lobby.	Стойка регистрации отеля Top работает круглосуточно. В лобби отеля установлен автомат по продаже напитков и закусок.
Garretstown is 20 minutes’ drive from The Old Bank Town House.	Пляж Гарретстаун находится в 20 минутах езды от таунхауса The Old Вank.
Each unit features a flat-screen TV, a fridge, a microwave, a kettle and kitchenware.	Во всех номерах/домах имеются телевизор с плоским экраном, холодильник, микроволновая печь, чайник и кухонные принадлежности.
Hakuba Train Station is a 10-minute drive as well, and the Hakuba Onsen hot springs can be enjoyed a 40-minute drive away.	Также в 10 минутах езды расположен железнодорожный вокзал Хакуба, а в 40 минутах езды - горячие источники Хакуба Онсен.
Featuring modern Thai décor, guest rooms at the hotel have attached bathrooms with hot shower facilities. Each room is equipped with a TV and minibar.	Номера оформлены в современном тайском стиле и располагают ванной комнатой с горячим душем, телевизором и мини-баром.
This property features both free WiFi and free private parking.	На территории обустроена бесплатная частная парковка и предоставляется бесплатный Wi-Fi .
Tripoli Town is 19 km from the property, while Athens City is 160 km away.	Расстояние до Триполи составляет 19 км, а до Афин — 160 км.
The property is 26 km from Klaipėda and boasts views of the garden.	До Клайпеды 26 км. Из окон открывается вид на сад.
There is a flat-screen TV with Freeview and DVD player, hairdryer and tea and coffee facilities in all rooms.	Каждый из них снабжен телевизором с плоским экраном и бесплатными каналами, DVD-плеером, феном и принадлежностями для чая/кофе.
Augusto Cesar Sandino International Airport is 82 km away.	Международный аэропорт имени Аугусто Сесара Сандино находится в 82 км.
Hotel Oceano also boasts its own restaurant, specializing in seafood and international cuisine.	В ресторане отеля Oceano подают блюда из морепродуктов и блюда интернациональной кухни.
Guests can enjoy yoga class or traditional Thai massage, or book boat trips to nearby islands with the resort’s tour desk.	Гости могут посетить занятия йогой, заказать традиционный тайский массаж или организовать лодочную экскурсию на близлежащие острова в туристическом бюро отеля.
Apartment at the Tyrol Landhaus have a south-east facing balcony with mountain views, a kitchenette, seating area, satellite TV and a bathroom with a shower and toilet.	Апартаменты гостевого дома Tyrol Landhaus располагают балконом на юго-восточной стороне с видом на горы, мини-кухней, гостиным уголком, спутниковым телевидением и ванной комнатой с душем и туалетом.
Hotel Cicerone offers free parking, a restaurant and simply furnished rooms with TV and private bathroom.	К услугам гостей отеля Cicerone бесплатная парковка, ресторан и строго обставленные номера с телевизором и собственной ванной комнатой.
Atocha Train Station is 300 metres away, with a high-speed AVE service and links to Barajas Airport.	В 300 метрах от отеля находится железнодорожный вокзал Аточа, откуда отправляются скоростные поезда и поезда до аэропорта Барахас.
Offering free WiFi throughout, Palazzu is a self-catering apartment located in Patrimonio.	Апартаменты Palazzu с собственной кухней и бесплатным Wi-Fi находятся в поселке Патримонио.
The property offers free parking.	К услугам гостей бесплатная парковка.
Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
At Tupirmarka Lodge you will find a 24-hour front desk, room service, and a snack bar.	В числе удобств лоджа Tupirmarka круглосуточная стойка регистрации и снэк-бар. Гости могут воспользоваться услугой доставки еды и напитков в номер.
Featuring free WiFi in all areas, Naigao Xiaowo offers accommodation in Shanghai.	Апартаменты Naigao Xiaowo расположены в городе Шанхай. К услугам гостей бесплатный Wi-Fi во всех зонах.
Each has a TV and a private bathroom with shower.	В вашем распоряжении также телевизор и собственная ванная комната с душем.
Your room comes with air conditioning and satellite TV.	Номер оснащен кондиционером и спутниковым телевидением.
They are styled in cream-coloured hues and some of them feature private balconies with seating areas.	Они оформлены в кремовых тонах, в некоторых из них имеются отдельные балконы с гостиной зоной.
The reception team can help guests plan sightseeing trips.	Сотрудники стойки регистрации с радостью помогут гостям спланировать экскурсии.
Some units include a seating area for your convenience.	В числе удобств некоторых номеров — гостиная зона.
Nieuwmarkt as well as Kalverstraat, Hermitage and Rembrandtplein are within 15 minutes walking.	До площади Ниумаркт, торговой улицы Калверштрат, музея Эрмитаж на Амстеле и площади Рембрандта можно дойти менее чем за 15 минут.
The Danube Delta is a natural reserve where you can go fishing, bird watching, take boat rides or simply unwind surrounded by nature.	Дельта Дуная является природным заповедником, в котором можно заняться рыбной ловлей, понаблюдать за птицами, покататься на лодке или просто расслабиться в окружении природы.
The air-conditioned rooms offer a flat-screen TV with cable channels, a desk, fan and seating area.	Номера оснащены кондиционером, телевизором с плоским экраном и кабельными каналами, письменным столом, вентилятором и гостиной зоной.
Each apartment is fitted with a balcony, flat-screen cable TV and safety deposit box.	Каждые апартаменты располагают балконом, сейфом и телевизором с плоским экраном и кабельными каналами.
Located 500 metres from Church of the Savior on Spilled Blood in Saint Petersburg, this apartment features free WiFi. The apartment is 700 metres from Palace Square.	Эти апартаменты с бесплатным Wi-Fi расположены в Санкт-Петербурге, в 500 метрах от храма Спаса-на-Крови и в 700 метрах от Дворцовой площади.
The kitchen includes a dishwasher and oven.	На кухне установлены посудомоечная машина и духовой шкаф.
An array of activities can be enjoyed on site or in the surroundings, including skiing, cycling and horse riding.	Территория и окрестности отлично подходят для активного отдыха, в том числе лыжного спорта, велосипедных прогулок и верховой езды.
Free WiFi is accessible throughout the premises.	На всей территории работает бесплатный Wi-Fi.
They include flat-screen satellite TV, a safe and en-suite bathroom with hairdryer.	В них также имеются такие удобства, как телевизор с плоским экраном и спутниковыми каналами, сейф и ванная комната с феном.
Free WiFi access is available in all areas.	На всей территории работает бесплатный Wi-Fi.
Valledoria is a 17-minute drive from the property, and Porto Torres is 34 km away.	Отель находится в 17 минутах езды от городка Валледории и в 34 км от города Порто-Торреса.
Towels and bed linen are provided in this self-catering accommodation.	Предоставляются полотенца и постельное белье.
The spa offers massages with a view of the sea, a fitness room and aqua gym.	В спа-центре предлагается массаж с видом на море, а также можно посетить фитнес-зал и аквааэробику.
Paignton Bus and Rail Station is only 5 minutes away on foot, and Paignton Pier can be reached in less than a 5-minute walk.	Гостевой дом находится всего в 5 минутах ходьбы от автобусного и железнодорожного вокзалов Пейнтона и менее чем в 5 минутах ходьбы от пристани Пейнтона.
A flat-screen TV is offered.	В числе прочих удобств -— телевизор с плоским экраном.
Organic, locally sourced ingredients are blended in the Mediterranean dishes of its stylish restaurant.	В стильном ресторане отеля подают блюда средиземноморской кухни из органических местных продуктов.
Each room at Sport Hotel comes with a TV with cable channels and a private bathroom with a shower.	Каждый номер в отеле Sport оснащен телевизором с кабельными каналами. В собственной ванной комнате можно принять душ.
Featuring a well-maintained garden, Emerald Residency offers luggage storage and car rental facilities. A tour desk and business centre are also present.	Помимо прочего, разбит ухоженный сад. В гостевом доме Emerald Residency имеется место хранения багажа и работает прокат автомобилей, экскурсионное бюро и бизнес-центр.
Guests can unwind in indoor and outdoor hot spring baths.	Гости могут посетить купальни с водой из горячих источников в помещении и на открытом воздухе.
The apartment features chic décor, high ceilings and a balcony with sea views.	В этих апартаментах с высоким потолком и роскошным декором есть балкон с видом на море.
You can engage in various activities, such as horse riding, windsurfing and cycling.	В окрестностях есть все условия для активного отдыха, включая виндсерфинг, верховую езду и велосипедные прогулки.
Breakfast is served in the garden, in the rooms or in the dining area.	Завтрак сервируют в саду, в номерах или в обеденной зоне.
A dishwasher is also available.	Также установлена посудомоечная машина.
Macedonia International Airport is 130 km away.	Расстояние до международного аэропорта «Македония» составляет 130 км.
All units also include a private bathroom with shower equipped with a hairdryer.	Все номера располагают собственной ванной комнатой с душем и феном.
Guest House Jam features free WiFi throughout the property.	На всей территории гостевого дома Jam работает бесплатный Wi-Fi.
Free private parking is available on site.	На территории обустроена бесплатная частная парковка.
There is also a terrace.	Кроме того, обустроена терраса.
Located on the 4th floor with no lift, this apartment features a kitchenette is fitted with a dishwasher and a microwave, as well as a coffee machine and a kettle.	Апартаменты находятся на 5 этаже здания без лифта. В числе удобств мини-кухня с посудомоечной машиной, микроволновой печью, кофемашиной и чайником.
The beach in Canneto is 15 minutes' drive away.	Поездка до пляжа Каннето занимает 15 минут.
Other facilities offered include a shared lounge and a games room.	Гости могут посетить общий лаундж и игровую комнату.
There is also a floral garden and a children’s playground.	Возле отеля разбит сад с цветниками, и обустроена детская игровая площадка.
Apartments at La Ferula come with a flat-screen TV, kitchen and dining area.	Апартаменты комплекса La Ferula располагают телевизором с плоским экраном, кухней и обеденной зоной.
A selection of restaurants and bars are located in the surrounding streets.	На близлежащих улицах открыто множество разнообразных ресторанов и баров.
Apache Gold Casino is 5 minutes’ drive from the hotel.	Поездка до казино Apache Gold занимает 5 минут.
Staff can arrange boat trips around the Gulf of Trieste.	Персонал может организовать экскурсии на корабле вокруг залива Триеста.
Located opposite the Hartford-Brainard Airport, this Days Inn Hartford is 6 minutes’ drive from the Connecticut Convention Center and Trinity College is 3 miles away.	Отель Days Inn Hartford находится напротив аэропорта Хартфорд-Брейнард, в 6 минутах езды от конгресс-центра Коннектикута и в 4,8 км от Тринити-колледжа.
Rooms include a private bathroom equipped with shower and free toiletries.	К услугам гостей собственная ванная комната с душем и бесплатными туалетно-косметическими принадлежностями.
Pueblo Antiguo and Café Britt coffee plantation are a 10-minute drive from the hotel, and the Poas Volcano is a 40-minute drive away.	Отель Country Inns & Suites by Carlson расположен в 40 минутах езды от вулкана Поас и в 10 минутах езды от парка Пуэбло Антигуо и кофейной плантации Кафе-Бритт.
At a surcharge guests can have breakfast at Meriton Old Town Garden Cafe which is located next door.	За отдельную плату для гостей сервируют завтрак в соседнем кафе Meriton Old Town Garden.
Simferopol Airport is 70 km away.	Расстояние до аэропорта Симферополь составляет 70 км.
Breakfast is served daily in a café just 20 metres from the hotel.	Завтрак подается каждый день в кафе всего в 20 метрах от отеля.
Mobile homes are modern and come with a bathroom with shower.	В современных передвижных домах также имеется ванная комната с душем.
At Riverside Garden Villas, you will find a hot tub, a 24-hour front desk and a peaceful garden.	В комплексе вилл Riverside Garden в распоряжении гостей гидромассажная ванна, круглосуточная стойка регистрации и тихий сад.
Restaurants and a supermarket are 1 km away.	В 1 км от апартаментов работают рестораны и супермаркет.
The island’ port is accessible within a short drive and Naxos National Airport is approximately 3 km away.	Поездка от гостевого дома до порта острова займет несколько минут, а Национальный аэропорт Наксоса находится примерно в 3 км.
Appartement CA200 in Cannes is located just 500 metres from the beach and features a terrace and garden.	Апартаменты CA200 расположены в Каннах, всего в 500 метрах от пляжа. К услугам гостей терраса и сад.
With a Moroccan-style décor, all the air-conditioned rooms at Riad Rime offer a TV and a wardrobe. A private bathroom with a shower is also provided.	В распоряжении гостей каждого оформленного в марокканском стиле номера риада Rime — кондиционер, телевизор, шкаф для одежды и собственная ванная комната с душем.
Ski Lodge is a holiday home located in the centre of Brides-les-Bains, a 2-minute walk from Olympe Gondola.	Дом для отпуска Ski Lodge находится в центре горнолыжного курорта Брид-ле-Бен, в 2 минутах ходьбы от гондольного подъемника Олимп.
This hotel is located in Herrieden.	Отель Genießerhotel Limbacher находится в городе Херриден.
Free on-site parking is available for cars, trucks, and buses at Bay City Regency Inn.	На территории мотеля Bay City Regency оборудована бесплатная парковка для автомобилей, грузовиков и автобусов.
Slippers are provided and most rooms have great mountain views.	Гостям предоставляются тапочки. Из большинства номеров открывается великолепный вид на горы.
Palace Jasmine is 15 km from Trivandrum International Airport.	Отель Palace Jasmine находится в 15 км от международного аэропорта Тривандрума.
Area activities include hiking and day trips along the Golden Circle.	Гости могут отправиться в пешие походы и однодневные поездки по Золотому кольцу Исландии.
The property offers free parking.	Также обустроена бесплатная парковка.
An array of activities can be enjoyed on site or in the surroundings, including cycling, hiking and canoeing.	На территории комплекса Miejsce Fajne и за его пределами гости могут заняться велосипедными и пешими прогулками, а также греблей на каноэ.
A daily breakfast is offered which guests can enjoy in the bright breakfast area, also with lake views.	Завтрак подается ежедневно в светлом зале для завтраков с видом на озеро.
Being in the centre of Ciampino you are surrounded by cafés and restaurants.	Отель расположен в центре Чампино, где работает множество кафе и ресторанов.
The kitchen is equipped with a dishwasher.	Кухня оснащена посудомоечной машиной.
Only 100 metres from the shores of the Black Sea, this cosy pension offers air-conditioned rooms and free Wi-Fi.	Уютный мотель Side расположен всего в 100 м от берега Черного моря. К услугам гостей номера с кондиционером и бесплатным Wi-Fi.
Located in the town of Tinos, Athos Studios is only 50 metres from Kalamia Beach and features a bar.	Отель Athos Studios с собственным баром расположен в городе Тинос, всего в 50 метрах от пляжа Каламия.
Enjoying a waterfront position just 100 metres from the pebbly beach, Hotel Soan is 3 km from the centre of Sarandë.	Отель Soan находится на побережье, всего в 100 метрах от галечного пляжа и в 3 км от центра города Саранда.
All units come with a furnished balcony or terrace.	Все номера комплекса оборудованы меблированным балконом или террасой.
An array of activities can be enjoyed on site or in the surroundings, including hiking.	На территории дома для отпуска или в его окрестностях можно заняться различными видами активного отдыха, в том числе пешим туризмом.
An array of activities can be enjoyed on site or in the surroundings, including table tennis.	Рядом с домом для отпуска и в окружающем регионе можно заняться различными видами активного отдыха, в том числе поиграть в настольный теннис.
Just a short walk away, guests can also find a super market, where they can buy their daily necessities.	Всего в нескольких минутах ходьбы также работает супермаркет, где продаются товары повседневного спроса.
An array of activities can be enjoyed on site or in the surroundings, including skiing, cycling and hiking.	В окрестностях лоджа созданы отличные условия для пеших походов, катания на велосипеде, лыжного спорта и других видов активного отдыха.
The property is situated at the foot of the Mystic Mirnock Mountain which has numerous cycling and hiking routes.	Апарт-отель расположен у подножия горы Мистик Мирнок, на которой проложены многочисленные велосипедные и пешеходные дорожки.
Entertainment is provided on most week nights.	Почти каждый вечер в отеле проводятся развлекательные мероприятия.
Cunda's centrum is 1.5 km, and Ayvalik city centre is 2 km from the property.	Центр Кунды находится в 1,5 км от гостевого дома, а центр города Айвалык - в 2 км.
There is a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Opéra Garnier is 2.6 km from Petit Trianon-Etoile, while Orsay Museum is 2.7 km from the property.	Апартаменты расположены в 2,6 км от театра Гранд-опера и в 2,7 км от музея Орсе.
Alicante Airport can be reached by car in 1 hour.	Поездка до аэропорта Аликанте займет 1 час.
Located in the Copacabana district of Rio de Janeiro, the Hotel Biarritz invites you to rest in accommodations equipped with king-size beds and air conditioning.	Отель Biarritz расположен в районе Копакабана в Рио-де-Жанейро. Приглашаем вас отдохнуть в номерах, оборудованных кроватями "king-size" и кондиционером.
This Islamic hotel offers separate outdoor pools for men and women, and a terrace overlooking the sea.	Этот мусульманский отель располагает отдельными открытыми бассейнами для мужчин и женщин, а также террасой с видом на море.
ACC Liverpool is 3.2 km from Sefton Grange , while Liverpool Echo Arena is 3.2 km from the property.	Выставочный и конференц-центр ACC Liverpool, а также спортивно-развлекательный комплекс Echo Arena расположены в 3,2 км от гостевого дома Sefton Grange.
